book a spot for 3 in mt	O O O O B-party_size_number O B-state
book a reservation at a restaurant nearby their airbnb	O O O O O B-restaurant_type B-spatial_relation B-poi I-poi
book a table for ten people at a restaurant which serves snack	O O O O B-party_size_number O O O B-restaurant_type O O B-served_dish
book for 10 in a restaurant	O O B-party_size_number O O B-restaurant_type
book a restaurant close by downtown for nine in seven months	O O B-restaurant_type B-spatial_relation I-spatial_relation B-poi O B-party_size_number B-timeRange I-timeRange I-timeRange
lets go eat in friday 43 days from now	O O O O B-city B-timeRange I-timeRange I-timeRange I-timeRange
book a table for 2 guests at a restaurant in lazy mountain ny	O O O O B-party_size_number O O O B-restaurant_type O B-city I-city B-state
book reservation at the big chill cafe in ar for 10 people	O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number O
i need to book a restaurant for seven people at elevenses seafood restaurant	O O O O O B-restaurant_type O B-party_size_number O O B-timeRange B-restaurant_name I-restaurant_name
book a restaurant for cupcakes for ten	O O B-restaurant_type O B-served_dish O B-party_size_number
book a table for 3 at a top-rated restaurant	O O O O B-party_size_number O O B-sort B-restaurant_type
book me a reservation for the brazen head in hecker	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
i want a reservation for 11:16:07 at the fort in south carolina	O O O O O B-timeRange O B-restaurant_name I-restaurant_name O B-state I-state
i want to book a cafeteria in el reno that serves javanese	O O O O O B-restaurant_type O B-city I-city O O B-cuisine
book a table at an indoor restaurant now	O O O O O B-facility B-restaurant_type B-timeRange
i need to book a pub for 8 that has wifi	O O O O O B-restaurant_type O B-party_size_number O O B-facility
i want to take nine people to a diner close to the spa	O O O O B-party_size_number O O O B-restaurant_type B-spatial_relation O O B-facility
book a bar for six on july eighth  2023  in the same area in equatorial guinea which serves rillettes	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-country I-country O O B-served_dish
i want to find a highly rated delicatessen in childersburg  de for one next february	O O O O O B-sort I-sort B-restaurant_type O B-city B-state O B-party_size_number B-timeRange I-timeRange
book a table for two in oklahoma	O O O O B-party_size_number O B-state
i d like to eat at a popular diner	O O O O O O O B-sort B-restaurant_type
i want to eat in 19 hours  at nm	O O O O B-timeRange I-timeRange I-timeRange O B-state
need a table for a party of eight one hour from now in exira sd in a pub that serves oysters rockefeller	O O O O O O O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange O B-city B-state O O B-restaurant_type O O B-served_dish I-served_dish
i need a party of two reservation faraway from atlantic av-barclays ctr at a spa for fast food	O O O O O B-party_size_number O B-spatial_relation O B-poi I-poi I-poi O O B-facility O B-restaurant_type I-restaurant_type
book a spot for 9 at a churrascaria that serves ammonia cookie in volga	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish O B-city
book a restaurant for tortelloni for eight	O O B-restaurant_type O B-served_dish O B-party_size_number
i want to eat somewhere that is faraway from iowa	O O O O O O O B-spatial_relation O B-state
book a party of 4 at eddie’s attic	O O O O B-party_size_number O B-restaurant_name I-restaurant_name
i would like to book a bistro for 7	O O O O O O B-restaurant_type O B-party_size_number
i want to book a churrascaria restaurant for ten people	O O O O O B-restaurant_type O O B-party_size_number O
book a breakfast in a restaurant for eight	O O B-timeRange O O B-restaurant_type O B-party_size_number
book a reservation for leticia  melva and twila edwards at glassy junction for five pm within the same area of our secondary residence	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
schedule the food truck to be at your place in the distant future	O O B-restaurant_type I-restaurant_type O O O B-poi I-poi O O B-spatial_relation O
book a bar close by with a smoking room in ma	O O B-restaurant_type B-spatial_relation I-spatial_relation O O B-facility I-facility O B-state
book me a restaurant at sint maarten on sun	O O O B-restaurant_type O B-country I-country O B-timeRange
book a carolina style restaurant in north korea for my grandkid and i	O O B-served_dish I-served_dish B-restaurant_type O B-country I-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
find a place for me to eat in connecticut for 9 and a half months from now	O O O O O O O O B-state O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
book a table for my granddaughter and i at the highly rated restaurant that is close by in tuvalu	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort I-sort B-restaurant_type O O B-spatial_relation I-spatial_relation O B-country
book trentino serving bar for 4	O B-cuisine O B-restaurant_type O B-party_size_number
can you get me seating for a party of 5	O O O O O O O O O B-party_size_number
book me a bar that has chicken fried bacon in vermont	O O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-state
would like a table right now for leonor mendoza  imogene and lisa sanchez	O O O O O B-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to book a table at the commons restaurant in south pekin new hampshire for a party of 10 on january the 24th	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city B-state I-state O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange
i need a bar for four that serves argentinian in d iberville  wy for twelve pm	O O O B-restaurant_type O B-party_size_number O O B-cuisine O B-city I-city B-state O B-timeRange I-timeRange
book a gastropub serves waffle for 8	O O B-restaurant_type O B-served_dish O B-party_size_number
can you book a table for eight people at a spa type restaurant within walking distance of the metropolitan borough of lambeth	O O O O O O B-party_size_number O O O B-facility O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O O B-poi I-poi I-poi I-poi
i need a reservation in decaturville for six people	O O O O O B-city O B-party_size_number O
book a neighboring food truck with a spa in dallesport for 4 people	O O B-spatial_relation B-restaurant_type I-restaurant_type O O B-facility O B-city O B-party_size_number O
i want to go to the pub with angelita  susan reed and ashlee watson after us parking	O O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-facility
book a spot for 9 in thirty three days  at ringlestone inn close to grenada	O O O O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name B-spatial_relation O B-country
book a restaurant for 5 people	O O B-restaurant_type O B-party_size_number O
i d like a table for my step grandfather and i at five fifty-five in nv	O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name O B-state
book a restaurant that serves meze in roseville fl with meredith  louisa and corrine	O O B-restaurant_type O O B-served_dish O B-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
can you get me seating at a pub in south korea that serves milk toast for supper	O O O O O O O B-restaurant_type O B-country I-country O O B-served_dish I-served_dish O B-timeRange
i need to book a popular pastelaria restaurant in svalbard and jan mayen for a party of eight	O O O O O B-sort B-cuisine B-restaurant_type O B-country I-country I-country I-country O O O O B-party_size_number
i want to make a reservation for a group of 4 at a churrascaria type spa	O O O O O O O O O O B-party_size_number O O B-restaurant_type O B-facility
book reservations at a nearby restaurant in montenegro for four people	O O O O B-spatial_relation B-restaurant_type O B-country O B-party_size_number O
i want to make a reservation at a sushi restaurant	O O O O O O O O B-served_dish B-restaurant_type
i need a table in iron gates in one minute  at the weathervane restaurant	O O O O O B-city I-city B-timeRange I-timeRange I-timeRange O O B-restaurant_name I-restaurant_name
i need a table for 5 at the restaurant i ate at last oct	O O O O O B-party_size_number O O B-restaurant_type O O O B-timeRange I-timeRange
table for 6 at a bar	O O B-party_size_number O O B-restaurant_type
book a table for 1  1 second from now in adelaide	O O O O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange O B-city
need a table at a highly rated restaurant within walking distance from downtown for luisa and i	O O O O O B-sort I-sort B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-poi O B-party_size_description I-party_size_description I-party_size_description
